domain,name,website,city,country,market,sources,tags,blurb,size,rate,found_at
thekids.eu,Kids,http://www.thekids.eu,Collingwood VIC,Australia,australia,sortlist,web-design|web-development,,,,2026-09-20 22:29
1000heads.com,1000heads,https://1000heads.com/,Melbourne VIC,Australia,australia,sortlist,web-design|web-development,,,,2026-09-20 22:29
rewardinc.com.au,"Reward Design, Adelaide",https://www.rewardinc.com.au,Reward Design - Adelaide,Australia,australia,sortlist,ecommerce|web-design,,,,2026-09-20 22:30
webtonic.io,Web Tonic,https://webtonic.io,Sydney,Australia,australia,sortlist,web-design,,,,2026-09-20 22:31
sdlccorp.com,SDLC Corp,https://www.sdlccorp.com/,India,Australia,australia,sortlist,ecommerce|web-development,,,,2026-09-20 22:32
codewave.com,"Codewave Technologies, Bengaluru",https://www.codewave.com,Sydney,Australia,australia,sortlist,ecommerce|web-development,,,,2026-09-20 22:33
clearwateragency.com.au,Clearwater Agency,https://clearwateragency.com.au,Clearwater Agency - Melbourne,Australia,australia,sortlist,ecommerce,,,,2026-09-20 22:36
soupagency.com.au,"Soup Agency, Fortitude Valley",https://www.soupagency.com.au,Soup Agency - Fortitude Valley,Australia,australia,sortlist,ecommerce,,,,2026-09-20 22:36
yoghurtdigital.com.au,"Yoghurt Digital, Sydney",https://www.yoghurtdigital.com.au,Yoghurt Digital - Sydney,Australia,australia,sortlist,ecommerce,,,,2026-09-20 22:36
