store outreach-discovered.csv: 23469 domains (+11088 new this run, 12381 before)
by source: {'search': 3652, 'semrush': 665, 'techbehemoths': 14741, 'selectedfirms': 5532, 'shopify': 1292, 'sortlist': 68} | by market: {'us': 21093, 'australia': 2376}
discovered 23469, verified before 12381, to verify 11089
  1300/8272 verified, 296s, with email so far: 10123
  1400/8272 verified, 325s, with email so far: 10172
  1500/8272 verified, 329s, with email so far: 10208
  1600/8272 verified, 373s, with email so far: 10241
  1700/8272 verified, 394s, with email so far: 10254
  1800/8272 verified, 401s, with email so far: 10276
  1900/8272 verified, 417s, with email so far: 10309
  2000/8272 verified, 468s, with email so far: 10350
  2100/8272 verified, 530s, with email so far: 10382
  2200/8272 verified, 531s, with email so far: 10436
  2300/8272 verified, 534s, with email so far: 10486
  2400/8272 verified, 568s, with email so far: 10530
  2500/8272 verified, 574s, with email so far: 10565
  2600/8272 verified, 611s, with email so far: 10609
  2700/8272 verified, 626s, with email so far: 10650
  2800/8272 verified, 628s, with email so far: 10701
  2900/8272 verified, 653s, with email so far: 10761
  3000/8272 verified, 691s, with email so far: 10828
  3100/8272 verified, 722s, with email so far: 10885
  3200/8272 verified, 783s, with email so far: 10932
  3300/8272 verified, 786s, with email so far: 10991
  3400/8272 verified, 787s, with email so far: 11050
  3500/8272 verified, 815s, with email so far: 11124
  3600/8272 verified, 825s, with email so far: 11191
  3700/8272 verified, 844s, with email so far: 11245
  3800/8272 verified, 922s, with email so far: 11301
  3900/8272 verified, 928s, with email so far: 11365
  4000/8272 verified, 931s, with email so far: 11420
  4100/8272 verified, 933s, with email so far: 11482
  4200/8272 verified, 968s, with email so far: 11537
  4300/8272 verified, 972s, with email so far: 11604
  4400/8272 verified, 1052s, with email so far: 11650
  4500/8272 verified, 1054s, with email so far: 11718
  4600/8272 verified, 1061s, with email so far: 11783
  4700/8272 verified, 1074s, with email so far: 11834
  4800/8272 verified, 1138s, with email so far: 11871
  4900/8272 verified, 1139s, with email so far: 11920
  5000/8272 verified, 1184s, with email so far: 11968
  5100/8272 verified, 1207s, with email so far: 12008
  5200/8272 verified, 1218s, with email so far: 12053
  5300/8272 verified, 1243s, with email so far: 12105
  5400/8272 verified, 1263s, with email so far: 12152
  5500/8272 verified, 1333s, with email so far: 12182
  5600/8272 verified, 1333s, with email so far: 12217
  5700/8272 verified, 1378s, with email so far: 12270
  5800/8272 verified, 1414s, with email so far: 12309
  5900/8272 verified, 1414s, with email so far: 12343
  6000/8272 verified, 1452s, with email so far: 12375
  6100/8272 verified, 1515s, with email so far: 12422
  6200/8272 verified, 1525s, with email so far: 12467
  6300/8272 verified, 1566s, with email so far: 12503
  6400/8272 verified, 1566s, with email so far: 12545
  6500/8272 verified, 1574s, with email so far: 12592
  6600/8272 verified, 1633s, with email so far: 12631
  6700/8272 verified, 1649s, with email so far: 12667
  6800/8272 verified, 1687s, with email so far: 12702
  6900/8272 verified, 1709s, with email so far: 12752
  7000/8272 verified, 2115s, with email so far: 12799
  7100/8272 verified, 2116s, with email so far: 12837
  7200/8272 verified, 2116s, with email so far: 12879
  7300/8272 verified, 2117s, with email so far: 12927
  7400/8272 verified, 2117s, with email so far: 12978
  7500/8272 verified, 2118s, with email so far: 13027
  7600/8272 verified, 2118s, with email so far: 13087
  7700/8272 verified, 2119s, with email so far: 13121
  7800/8272 verified, 2119s, with email so far: 13158
  7900/8272 verified, 2120s, with email so far: 13211
  8000/8272 verified, 2121s, with email so far: 13269
  8100/8272 verified, 2121s, with email so far: 13315
  8200/8272 verified, 2122s, with email so far: 13363
verified 31739: reachable 27938, with email 13398, score>=70 with email 8543, offshore-flagged 3984
store outreach-discovered.csv: 31739 domains (+0 new this run, 31739 before)
by source: {'search': 6424, 'semrush': 723, 'techbehemoths': 19261, 'selectedfirms': 6899, 'shopify': 1709, 'sortlist': 89} | by market: {'us': 21345, 'australia': 2377}
discovered 31739, verified before 31739, to verify 2
verified 31739: reachable 27938, with email 13398, score>=70 with email 8543, offshore-flagged 3984
store outreach-discovered.csv: 31739 domains (+0 new this run, 31739 before)
by source: {'search': 6424, 'semrush': 723, 'techbehemoths': 19261, 'selectedfirms': 6899, 'shopify': 1709, 'sortlist': 89} | by market: {'us': 21345, 'australia': 2377}
discovered 31739, verified before 31739, to verify 2
verified 31739: reachable 27938, with email 13398, score>=70 with email 8543, offshore-flagged 3984
store outreach-discovered.csv: 31739 domains (+0 new this run, 31739 before)
by source: {'search': 6424, 'semrush': 723, 'techbehemoths': 19261, 'selectedfirms': 6899, 'shopify': 1709, 'sortlist': 89} | by market: {'us': 21345, 'australia': 2377}
discovered 31739, verified before 31739, to verify 2
verified 31739: reachable 27938, with email 13398, score>=70 with email 8543, offshore-flagged 3984
